縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數,
雲林縣,108.01.09,斗六市,土番鴨,108.01.17,H5N2,108.01.17,"4,761",
屏東縣,108.01.14,里港鄉,土番鴨,108.01.21,H5N2,108.01.21,"6,510",
雲林縣,108.01.26,東勢鄉,皇金雞,108.01.29,H5N2,108.01.29,"11,104",
雲林縣,108.01.30,水林鄉,火雞,108.02.01,H5N2,108.02.01,864,
彰化縣,108.02.13,大城鄉,黑羽土雞,108.02.17,H5N2,108.02.18,"32,540",
雲林縣,108.02.19,虎尾鎮,紅羽土雞,108.02.22,H5N2,108.02.23,"16,728",
屏東縣,108.02.21,鹽埔鄉,黑羽土雞,108.02.25,H5N2,108.02.25,"31,424",
雲林縣,108.02.25,東勢鄉,黑羽土雞皇金雞,108.02.27,H5N2,108.02.27,"18,851",
彰化縣,108.03.04,大城鄉,黑羽土雞,108.03.07,H5N2,108.03.08,"33,400",
彰化縣,108.03.12,芳苑鄉,紅羽土雞,108.03.15,H5N2,108.03.15,"16,564",
雲林縣,108.03.22,東勢鄉,紅羽土雞,108.03.25,H5N2,108.03.25,"18,546",
雲林縣,108.03.21,東勢鄉,土番鴨,108.03.29,H5N2,108.03.29,"6,260",
雲林縣,108.03.21,東勢鄉,土番鴨,108.03.29,H5N2,108.03.29,"4,738",
雲林縣,108.03.26,東勢鄉,紅羽土雞,108.03.29,H5N2,108.03.29,"12,344",
雲林縣,108.04.02,東勢鄉,紅羽土雞,108.04.05,H5N2,108.04.05,"10,317",
雲林縣,108.04.02,東勢鄉,黑羽土雞,108.04.15,H5N2,108.04.15,"22,800",
彰化縣,108.04.19,二林鎮,黑羽土雞皇金雞,108.04.24,H5N2,108.04.25,"27,103",
雲林縣,108.04.17,東勢鄉,肉鵝,108.04.27,H5N2,108.04.27,"1,139",
雲林縣,108.05.04,麥寮鄉,紅羽土雞,108.05.08,H5N2,108.05.08,"13,520",
屏東縣,108.05.14,佳冬鄉,蛋鴨,108.05.18,H5N2,108.05.18,"4,153",
彰化縣,108.05.17,竹塘鄉,文昌雞,108.05.20,H5N2,108.05.20,"1,808",
雲林縣,108.05.20,東勢鄉,黑羽土雞,108.05.23,H5N2,108.05.23,"17,652",
雲林縣,108.05.16,東勢鄉,北京鴨,108.05.24,H5N2,108.05.24,"1,653",
雲林縣,108.05.24,口湖鄉,黑羽土雞,108.05.27,H5N2,108.05.27,"14,003",
雲林縣,108.06.08,東勢鄉,黑羽土雞,108.06.13,H5N2,108.06.13,"11,885",
彰化縣,108.06.18,芳苑鄉,紅羽土雞,108.06.21,H5N2,108.06.22,"27,960",
雲林縣,108.06.24,臺西鄉,皇金雞,108.06.27,H5N2,108.06.27,"5,774",
彰化縣,108.06.24,大城鄉,黑羽土雞,108.06.27,H5N2,108.06.28,"26,960",
雲林縣,108.06.24,元長鄉,肉鵝,108.06.28,H5N2,108.06.28,776,
彰化縣,108.06.26,大城鄉,黑羽土雞,108.06.29,H5N2,108.06.29,"17,686",
雲林縣,108.06.28,莿桐鄉,皇金雞,108.07.01,H5N2,108.07.01,"18,748",
彰化縣,108.07.01,大城鄉,黑羽土雞,108.07.04,H5N2,108.07.04,"15,189",
雲林縣,108.06.21,東勢鄉,土番鴨,108.07.05,H5N2,108.07.05,"2,612",
雲林縣,108.06.21,東勢鄉,土番鴨,108.07.06,H5N2,108.07.06,"3,908",
雲林縣,108.07.04,四湖鄉,火雞,108.07.07,H5N2,108.07.07,"1,121",
雲林縣,108.07.15,元長鄉,黑羽土雞,108.07.18,H5N2,108.07.18,"22,519",
彰化縣,108.07.12,芳苑鄉,土番鴨,108.07.20,H5N2,108.07.21,"1,531",
雲林縣,108.07.18,東勢鄉,紅羽土雞,108.07.21,H5N2,108.07.22,"22,713",
雲林縣,108.07.18,東勢鄉,黑羽土雞,108.07.21,H5N2,108.07.23,"12,380",
雲林縣,108.07.20,麥寮鄉,紅羽土雞,108.07.24,H5N2,108.07.24,"2,640",
彰化縣,108.07.22,大城鄉,蛋中雞,108.07.25,H5N2,108.07.25,"7,756",
雲林縣,108.07.29,臺西鄉,黑羽土雞,108.08.01,H5N2,108.08.01,"6,389",
彰化縣,108.08.10,大城鄉,黑羽土雞,108.08.13,H5N2,108.08.13,"18,030",
雲林縣,108.08.05,臺西鄉,肉鵝,108.08.17,H5N2,108.08.17,266,
雲林縣,108.08.19,褒忠鄉,皇金雞,108.08.22,H5N2,108.08.22,"7,978",
雲林縣,108.08.20,麥寮鄉,皇金雞,108.08.23,H5N2,108.08.23,"7,786",
彰化縣,108.08.23,芳苑鄉,土番鴨,108.08.27,H5N2,108.08.27,444,
嘉義縣,108.08.29,溪口鄉,鵪鶉,108.09.01,H5N2,108.09.01,"46,184",
雲林縣,108.08.31,二崙鄉,紅羽土雞,108.09.04,H5N2,108.09.05,"28,909",
屏東縣,108.09.04,萬丹鄉,土番鴨,108.09.08,H5N2,108.09.09,"5,119",
雲林縣,108.09.04,臺西鄉,正番鴨,108.09.08,H5N2,108.09.09,"4,362",
高雄市,108.09.09,旗山區,土番鴨,108.09.13,H5N5,108.09.12,"3,583",
雲林縣,108.09.09,林內鄉,土番鴨,108.09.12,H5N2,108.09.13,"14,139",
雲林縣,108.09.09,東勢鄉,正番鴨,108.09.12,H5N2,108.09.14,"9,325",
雲林縣,108.09.05,臺西鄉,正番鴨,108.09.14,H5N2,108.09.14,"12,901",
雲林縣,108.09.13,東勢鄉,紅羽土雞,108.09.16,H5N2,108.09.16,"11,168",
彰化縣,108.09.17,北斗鎮,黑羽土雞肉鵝,108.09.20,H5N2,108.09.20,12,
雲林縣,108.09.18,虎尾鎮,紅羽土雞,108.09.21,H5N2,108.09.22,"21,056",
雲林縣,108.09.28,臺西鄉,紅羽土雞,108.10.03,H5N2,108.10.04,"34,345",
屏東縣,108.09.28,九如鄉,紅羽土雞,108.10.04,H5N5,108.10.03,"17,924",
雲林縣,108.10.23,麥寮鄉,北京鴨,108.10.26,H5N2,108.10.26,"1,201",
嘉義縣,108.10.27,朴子市,紅羽土雞,108.10.30,H5高病原,108.10.30,101,
雲林縣,108.10.29,臺西鄉,紅羽土雞,108.11.01,H5N2,108.11.01,"2,337",
彰化縣,108.11.07,芳苑鄉,北京鴨,108.11.11,H5N2,108.11.12,694,
雲林縣,108.11.13,褒忠鄉,皇金雞,108.11.16,H5N2,108.11.16,"13,220",
雲林縣,108.11.18,東勢鄉,正番鴨,108.11.21,H5N2,108.11.21,182,
雲林縣,108.11.21,臺西鄉,土番鴨,108.11.30,H5N2,108.11.30,"5,052",
雲林縣,108.11.27,東勢鄉,黑羽土雞,108.11.30,H5N2,108.11.30,"13,145",
彰化縣,108.11.27,竹塘鄉,黑羽土雞,108.11.30,H5N2,108.12.01,"24,980",
雲林縣,108.11.30,東勢鄉,火雞,108.12.04,H5N2,108.12.04,"1,482",
雲林縣,108.11.28,東勢鄉,正番鴨,108.12.06,H5N2,108.12.06,"4,413",
彰化縣,108.12.01,大城鄉,黑羽土雞,108.12.05,H5N2,108.12.06,"40,680",
屏東縣,108.12.12,鹽埔鄉,黑羽土雞,108.12.15,H5N5,108.12.16,"16,310",
雲林縣,108.12.16,臺西鄉,皇金雞,108.12.19,H5N2,108.12.19,"7,045",
彰化縣,108.12.16,伸港鄉,"火雞、黑羽土
雞、肉鵝、肉鴨",108.12.19,H5N2,108.12.19,895,
雲林縣,108.12.16,崙背鄉,皇金雞,108.12.19,H5N2,108.12.20,"11,784",
嘉義縣,108.12.17,太保市,種鵝,108.12.20,H5N2,108.12.20,"1,640",
臺南市,108.12.17,學甲區,黑羽土雞,108.12.20,H5N2,108.12.20,"13,344",
嘉義縣,108.12.20,溪口鄉,火雞,108.12.23,H5N2,108.12.23,"2,114",
雲林縣,108.12.18,東勢鄉,土番鴨,108.12.26,H5高病原,108.12.26,"3,136",
雲林縣,108.12.18,四湖鄉,土番鴨,108.12.26,H5N2,108.12.26,"3,071",
臺南市,108.12.26,新市區,黑羽土雞,108.12.29,H5N5,108.12.29,"8,209",
雲林縣,108.12.28,斗南鎮,紅羽土雞,109.01.01,H5N2,109.01.01,"20,979",
雲林縣,108.12.31,麥寮鄉,黑羽土雞,109.01.03,H5N5,109.01.03,"9,784",
臺北市,108.03.16,萬華區,紅羽土雞,108.03.19,H5N2,108.03.19,21,
臺北市,108.03.19,萬華區,紅羽土雞,108.03.22,H5N2,108.03.22,61,
臺北市,108.03.24,萬華區,皇金雞,108.03.26,H5N2,108.03.26,40,
臺北市,108.03.25,萬華區,紅羽土雞,108.03.28,H5N2,108.03.28,37,
臺北市,108.03.29,萬華區,紅羽土雞,108.03.31,H5N2,108.04.02,8,
臺北市,108.03.30,萬華區,紅羽土雞,108.04.01,H5N2,108.04.02,11,
彰化縣,108.04.08,埤頭鄉,紅羽土雞,108.04.11,H5N2,108.04.08,720,
高雄市,108.04.30,湖內區,紅羽土雞,108.05.03,H5N2,108.05.04,"5,675",
臺北市,108.05.17,萬華區,文昌雞,108.05.19,H5N2,108.05.21,4,
臺北市,108.05.31,萬華區,紅羽土雞,108.06.02,H5N2,108.06.04,26,
臺北市,108.07.02,萬華區,紅羽土雞,108.07.05,H5N2,108.07.05,14,
臺北市,108.07.25,萬華區,紅羽土雞,108.07.27,H5N2,108.07.30,44,
臺北市,108.08.04,萬華區,文昌雞,108.08.06,H5N2,108.08.04,3,
臺北市,108.08.28,萬華區,皇金雞,108.08.30,H5N2,108.09.03,41,
屏東縣,108.09.02,長治鄉,紅羽土雞,108.09.05,H5N2,108.09.05,660,
桃園市,108.10.18,八德區,紅羽土雞,108.10.20,H5N2,108.10.21,"1,453",
臺北市,108.11.10,萬華區,紅羽土雞,108.11.12,H5N5,108.11.17,10,
臺北市,108.11.13,萬華區,紅羽土雞,108.11.15,H5N2,108.11.17,11,
臺北市,108.11.21,萬華區,文昌雞,108.11.23,H5N2,108.11.26,32,
臺北市,108.12.15,萬華區,紅羽土雞,108.12.17,H5N5,108.12.18,10,
臺北市,108.12.17,萬華區,紅羽土雞,108.12.20,H5N2,108.12.24,78,
臺北市,108.12.21,萬華區,紅羽土雞,108.12.23,"H5N2,N5",108.12.24,54,
臺北市,108.12.27,萬華區,紅羽土雞,108.12.29,H5N5,108.12.31,87,
臺北市,108.12.28,萬華區,紅羽土雞,108.12.30,H5N5,108.12.31,24,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
