縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數
雲林縣,109.01.04,莿桐鄉,皇金雞,109.01.08,H5N2,109.01.08,"6,977"
雲林縣,109.01.07,元長鄉,黑羽土雞,109.01.10,H5N2,109.01.10,"14,050"
,,,,,,,
臺中市,109.01.13,大安區,鬥雞,109.01.16,H5N2,109.01.16,"2,040"
,,,,,,,
彰化縣,109.01.13,竹塘鄉,黑羽土雞,109.01.17,H5N2,109.01.17,"21,378"
,,,,,,,
雲林縣,109.01.14,水林鄉,火雞,109.01.17,H5N2,109.01.17,404
,,,,,,,
雲林縣,109.01.17,大埤鄉,紅羽土雞,109.01.22,H5N2,109.01.22,"6,835"
,,,,,,,
雲林縣,109.01.14,麥寮鄉,北京鴨,109.01.23,H5N2,109.01.23,"1,080"
,,,,,,,
雲林縣,109.01.22,臺西鄉,紅羽土雞,109.01.25,H5N2,109.01.29,"29,734"
,,,,,,,
雲林縣,109.01.23,麥寮鄉,紅羽土雞,109.01.26,H5N2,109.01.29,"3,140"
,,,,,,,
雲林縣,109.01.23,古坑鄉,紅羽土雞,109.01.26,H5N2,109.01.30,"39,373"
,,,皇金雞,,,,
屏東縣,109.01.26,鹽埔鄉,紅羽土雞,109.01.30,H5N2,109.01.30,"8,715"
,,,,,,,
屏東縣,109.01.29,鹽埔鄉,黑羽土雞,109.02.01,H5N2,109.02.01,"9,015"
,,,,,,,
雲林縣,109.01.30,東勢鄉,黑羽土雞,109.02.02,H5N2,109.02.03,"12,262"
,,,,,,,
雲林縣,109.02.04,東勢鄉,黑羽土雞,109.02.07,H5N2,109.02.07,"13,820"
,,,,,,,
雲林縣,109.02.06,古坑鄉,烏骨雞,109.02.09,H5N2,109.02.10,"13,624"
,,,,,,,
彰化縣,109.02.12,大城鄉,紅羽土雞,109.02.15,H5N2,109.02.15,"7,230"
,,,,,,,
雲林縣,109.02.13,口湖鄉,黑羽土雞,109.02.16,H5N2,109.02.17,"32,454"
,,,,,H5N5,,
屏東縣,109.02.20,新埤鄉,紅羽土雞,109.02.24,H5N2,109.02.25,"30,174"
,,,皇金雞,,,,
雲林縣,109.02.21,褒忠鄉,黑羽土雞,109.02.24,H5N5,109.02.24,"10,725"
,,,,,,,
雲林縣,109.02.24,四湖鄉,肉鵝,109.02.27,H5N2,109.02.27,960
,,,,,,,
雲林縣,109.02.24,臺西鄉,黑羽土雞,109.02.27,H5N5,109.02.27,"18,093"
,,,,,,,
雲林縣,109.02.24,東勢鄉,皇金雞,109.02.27,H5N5,109.02.28,"10,737"
,,,,,,,
臺南市,109.02.26,後壁區,種鵝,109.02.29,H5N2,109.02.29,"1,173"
,,,,,,,
雲林縣,109.03.02,北港鎮,火雞,109.03.05,H5N5,109.03.05,"2,562"
,,,,,,,
雲林縣,109.03.05,東勢鄉,紅羽土雞,109.03.08,H5N2,109.03.09,"7,129"
,,,,,,,
雲林縣,109.03.08,土庫鎮,火雞,109.03.12,H5N2,109.03.12,630
,,,,,,,
屏東縣,109.03.12,萬丹鄉,蛋中雞,109.03.15,H5N5,109.03.16,"14,171"
,,,,,,,
雲林縣,109.03.12,麥寮鄉,土番鴨,109.03.20,H5N5,109.03.20,"1,065"
,,,,,,,
彰化縣,109.03.18,大城鄉,蛋中雞,109.03.21,H5N2,109.03.21,"21,680"
,,,,,H5N5,,
臺南市,109.03.20,學甲區,火雞,109.03.23,H5N5,109.03.23,702
,,,,,,,
臺南市,109.03.25,後壁區,肉鵝,109.03.28,H5N5,109.03.28,"3,103"
,,,,,,,
臺南市,109.04.06,學甲區,火雞,109.04.09,H5N5,109.04.09,652
,,,,,,,
臺南市,109.04.06,學甲區,火雞,109.04.09,H5N5,109.04.09,723
,,,,,,,
雲林縣,109.04.09,東勢鄉,火雞,109.04.12,H5N5,109.04.13,"1,657"
,,,,,,,
臺南市,109.04.13,鹽水區,蛋雞,109.04.16,H5N5,109.04.16,"8,624"
屏東縣,109.04.22,鹽埔鄉,黑羽土雞,109.04.25,H5N5,109.04.25,"15,826"
雲林縣,109.04.27,麥寮鄉,紅羽土雞,109.04.30,H5N5,109.04.30,"12,954"
雲林縣,109.05.21,褒忠鄉,黑羽土雞,109.05.24,H5N5,109.05.25,"24,048"
彰化縣,109.06.18,大城鄉,黑羽土雞,109.06.21,H5N5,109.06.21,"9,556"
雲林縣,109.07.23,東勢鄉,皇金雞,109.07.27,H5N5,109.07.27,"5,949"
彰化縣,109.07.26,芳苑鄉,肉鵝,109.07.30,H5N5,109.07.30,"2,070"
臺南市,109.07.27,下營區,皇金雞,109.07.30,H5N5,109.07.30,"57,872"
雲林縣,109.07.28,古坑鄉,白肉種雞,109.07.31,H5N5,109.07.31,"18,277"
屏東縣,109.08.01,鹽埔鄉,紅羽土雞,109.08.05,H5N5,109.08.05,"7,595"
彰化縣,109.08.06,二林鎮,黑羽土雞,109.08.09,H5N5,109.08.10,"16,031"
雲林縣,109.08.08,斗南鎮,紅羽土雞,109.08.12,H5N2,109.08.12,"13,994"
雲林縣,109.08.08,東勢鄉,黑羽土雞,109.08.12,H5N5,109.08.12,"13,080"
雲林縣,109.08.15,褒忠鄉,黑羽土雞,109.08.19,H5N5,109.08.19,"10,732"
雲林縣,109.08.17,臺西鄉,正番鴨,109.08.27,H5N5,109.08.27,"4,666"
雲林縣,109.09.05,東勢鄉,黑羽土雞,109.09.10,H5N5,109.09.10,"8,617"
雲林縣,109.09.11,水林鄉,紅羽土雞,109.09.14,H5N5,109.09.14,"13,132"
嘉義縣,109.11.22,太保市,肉鵝,109.11.24,H5N5,109.11.24,574
雲林縣,109.11.23,元長鄉,肉鵝,109.11.26,H5N5,109.11.26,843
彰化縣,109.12.19,大城鄉,蛋中雞,109.12.23,H5N5,109.12.23,"28,739"
雲林縣,109.12.21,元長鄉,肉鵝,109.12.24,H5N5,109.12.24,"1,445"
屏東縣,109.12.25,鹽埔鄉,土番鴨,109.12.31,H5N5,109.12.31,"6,376"
屏東縣,109.12.25,高樹鄉,土番鴨,109.12.31,H5N5,109.12.31,"2,688"
雲林縣,109.12.31,東勢鄉,肉鵝,110.01.03,H5N5,110.01.04,784
臺北市,109.01.01,萬華區,文昌雞,109.01.03,H5N2,109.01.07,20
臺北市,109.01.10,萬華區,紅羽土雞,109.01.12,H5N5,109.01.14,5
臺北市,109.01.10,萬華區,紅羽土雞,109.01.13,H5N5,109.01.14,15
臺北市,109.01.11,萬華區,紅羽土雞,109.01.13,H5N5,109.01.14,19
臺南市,109.01.15,柳營區,紅羽土雞,109.01.18,H5N2,109.01.20,"7,222"
臺北市,109.02.07,萬華區,紅羽土雞,109.02.09,"H5N2
H5N5",109.02.11,28
