縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數,清消日期,
彰化縣,111.01.04,芳苑鄉,蛋中雞,111.01.07,H5N2,111.01.07,"44,922",111.01.10,
彰化縣,111.01.07,竹塘鄉,蛋雞,111.01.13,H5N2,111.01.17,"19,368",111.07.13,
雲林縣,111.01.11,斗南鎮,肉鵝,111.01.20,H5N2,111.01.20,88,111.01.23,
彰化縣,111.01.13,大城鄉,蛋雞,111.01.16,H5N2,111.01.18,"17,750",111.03.02,
雲林縣,111.01.21,大埤鄉,土種雞,111.01.24,H5N2,111.01.24,"6,102",111.01.31,
彰化縣,111.01.24,二林鎮,紅羽土雞,111.01.26,H5N2,111.01.27,"22,947",111.02.25,
雲林縣,111.01.25,古坑鄉,白肉種雞,111.01.28,H5N2,111.01.28,"15,768",111.02.04,
雲林縣,111.02.02,元長鄉,種鵝,111.02.05,H5N2,111.02.05,"3,371",111.02.08,
雲林縣,111.02.05,東勢鄉,黑羽土雞,111.02.10,H5N2,111.02.10,"14,888",111.02.17,
雲林縣,111.02.07,東勢鄉,黑羽土雞,111.02.11,H5N2,111.02.11,"9,924",111.02.17,
雲林縣,111.02.08,東勢鄉,紅羽土雞、黑羽土雞,111.02.12,H5N2,111.02.12,"18,417",111.02.19,
屏東縣,111.02.15,萬丹鄉,土番鴨,111.02.18,H5N2,111.02.18,889,111.02.24,
雲林縣,111.02.19,東勢鄉,黑羽土雞,111.02.24,H5N2,111.02.24,"4,730",111.03.03,
彰化縣,111.02.21,大城鄉,黑羽土雞,111.02.24,H5N2,111.02.24,"9,837",111.03.13,
雲林縣,111.03.02,臺西鄉,紅羽土雞,111.03.05,H5N2,111.03.05,"12,485",111.03.18,
臺南市,111.03.02,麻豆區,烏骨雞,111.03.05,H5N2,111.03.05,"6,200",111.03.09,
新北市,111.03.05,淡水區,紅羽土雞,111.03.09,H5N2,111.03.09,235,111.03.31,
雲林縣,111.03.19,西螺鎮,古早雞、烏骨雞、紅羽土雞,111.03.23,H5N2,111.03.24,"23,724",111.03.31,
嘉義縣,111.04.02,中埔鄉,火雞,111.04.04,H5N2,111.04.04,329,111.04.08,
彰化縣,111.06.16,大城鄉,紅羽土雞,111.06.19,H5N2,111.06.20,"12,210",111.06.30,
彰化縣,111.07.10,大城鄉,蛋中雞,111.07.14,H5N2,111.07.14,"8,678",111.07.27,
彰化縣,111.07.12,大城鄉,蛋中雞,111.07.15,H5N2,111.07.15,"4,945",111.07.28,
雲林縣,111.08.30,臺西鄉,紅羽土雞、黑羽土雞,111.09.02,H5N2,111.09.02,"5,983",111.09.07,
臺中市,111.09.05,大里區,蛋雞,111.09.07,H5N2,111.09.08,"5,670",111.09.22,
彰化縣,111.10.17,二林鎮,土番鴨,111.10.22,H5N2,-,0,111.10.24,
屏東縣,111.11.10,高樹鄉,土番鴨,111.11.14,H5N2,111.11.15,"1,350",111.11.15,
雲林縣,111.11.16,古坑鄉,土番鴨,111.11.24,H5N2,111.11.24,"3,166",111.11.27,
宜蘭縣,111.11.17,五結鄉,種鴨,111.11.20,H5N1,111.11.20,"5,010",111.11.20,
高雄市,111.11.24,路竹區,土番鴨,111.12.02,H5N1,111.12.01,"2,060",111.12.21,
雲林縣,111.11.28,水林鄉,土番鴨,111.12.08,H5N1,111.12.08,"25,637",111.12.11,
臺南市,111.12.01,官田區,土番鴨,111.12.04,H5N1,111.12.04,"15,194",111.12.04,
屏東縣,111.12.01,鹽埔鄉,蛋雞,111.12.04,H5N2,111.12.05,"8,599",112.01.21,
嘉義縣,111.12.03,東石鄉,正番鴨,111.12.16,H5N1,111.12.17,"4,621",111.12.22,
嘉義縣,111.12.03,東石鄉,肉鵝,111.12.16,H5N1,111.12.17,"1,066",111.12.22,
彰化縣,111.12.14,竹塘鄉,土番鴨,111.12.22,H5N1,111.12.22,839,111.12.25,
彰化縣,111.12.14,埔心鄉,肉鵝,111.12.22,H5N1,111.12.22,"2,015",111.12.25,
彰化縣,111.12.16,竹塘鄉,黑羽土雞、皇金雞,111.12.21,H5N1,111.12.21,"16,165",111.12.28,
彰化縣,111.12.16,竹塘鄉,黑羽土雞,111.12.21,H5N1,111.12.21,"4,971",111.12.28,
彰化縣,111.12.16,二林鎮,紅羽土雞,111.12.21,H5N1,111.12.22,"7,775",112.01.04,
雲林縣,111.12.21,臺西鄉,黑羽土雞,111.12.24,H5N1,111.12.24,"12,614",111.12.31,
彰化縣,111.12.25,芳苑鄉,土番鴨,111.12.29,H5N1,111.12.30,"4,677",112.01.02,
彰化縣,111.12.25,大城鄉,土番鴨,111.12.29,H5N2,111.12.30,"4,325",112.01.02,
彰化縣,111.12.26,竹塘鄉,蛋雞,111.12.29,H5N1,111.12.29,"21,189",112.01.11,
嘉義縣,111.12.26,新港鄉,黑羽土雞,111.12.29,H5N1,111.12.29,"13,472",112.01.04,
臺南市,111.12.26,六甲區,蛋雞,111.12.30,H5N1,111.12.30,"22,001",112.01.03,
雲林縣,111.12.27,崙背鄉,皇金雞,111.12.30,H5N1,111.12.31,"19,607",112.01.04,
彰化縣,111.12.27,竹塘鄉,蛋雞,111.12.31,H5N2,111.12.31,"12,697",112.01.11,
彰化縣,111.12.28,二林鎮,紅羽土雞、皇金雞,112.01.01,H5N2,112.01.02,"15,804",112.02.01,
彰化縣,111.12.30,和美鎮,鵪鶉,112.01.04,H5N1,112.01.04,"8,813",112.01.12,
彰化縣,111.12.30,和美鎮,鵪鶉,112.01.04,H5N1,112.01.04,"51,420",112.01.12,
雲林縣,111.12.31,元長鄉,紅羽土雞,112.01.04,H5N1,112.01.04,"9,215",112.01.10,
臺北市,111.04.16,萬華區,紅羽土雞,111.04.18,H5N2,111.04.19,11,111.04.19,
臺北市,111.06.02,萬華區,紅羽土雞,111.06.05,H5N2,111.06.07,31,111.06.07,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
