縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數,清消日期
雲林縣,112.01.03,臺西鄉,黑羽土雞,112.01.06,H5N1,112.01.07,"6,480",112.01.12
嘉義縣,112.01.03,六腳鄉,古早雞,112.01.06,H5N1,112.01.06,"6,936",112.01.09
臺南市,112.01.03,佳里區,肉鵝,112.01.06,H5N1,112.01.06,"1,088",112.01.06
彰化縣,112.01.03,二林鎮,紅羽土雞、皇金雞,112.01.07,H5N2,112.01.08,"17,626",112.02.09
嘉義縣,112.01.04,六腳鄉,黑羽土雞,112.01.08,H5N1,112.01.09,"6,785",112.01.17
彰化縣,112.01.04,芳苑鄉,蛋雞,112.01.08,H5N2,112.01.09,"12,071",112.02.22
雲林縣,112.01.06,東勢鄉,紅羽土雞、皇金雞,112.01.09,H5N2,112.01.09,"17,329",112.01.19
臺南市,112.01.07,西港區,蛋雞,112.01.12,H5N1,112.01.12,"13,590",112.02.20
臺南市,112.01.07,佳里區,紅羽土雞,111.01.13,H5N1,112.01.13,"19,665",112.03.01
嘉義縣,112.01.09,溪口鄉,鵪鶉,112.01.13,H5N2,112.01.13,"25,429",112.01.17
嘉義縣,112.01.12,大林鎮,肉鵝,112.01.18,H5N5,112.01.18,"1,324",112.01.20
彰化縣,112.01.18,鹿港鎮,鵪鶉,112.01.22,H5N1,112.01.22,"65,186",112.02.22
雲林縣,112.01.23,古坑鄉,紅羽土雞、文昌雞,112.01.27,H5N2,112.01.28,"22,281",112.02.04
屏東縣,112.01.24,鹽埔鄉,黑羽土雞,112.01.27,H5N1,112.01.27,"19,677",112.02.10
彰化縣,112.01.24,鹿港鎮,鵪鶉,112.01.28,H5N1,112.01.28,"103,125",112.02.22
雲林縣,112.01.25,褒忠鄉,蛋雞,112.01.29,H5N1,112.01.30,"3,415",112.02.06
彰化縣,112.02.02,芳苑鄉,蛋雞,112.02.06,H5N1,112.02.07,"23,709",112.03.08
臺南市,112.02.02,官田區,古早雞,112.02.06,H5N1,112.02.06,"37,359",112.03.07
雲林縣,112.02.03,二崙鄉,蛋雞,112.02.06,H5N1,112.02.06,"1,387",112.02.14
雲林縣,112.02.04,古坑鄉,土種雞,112.02.08,H5N1,112.02.08,"5,609",112.02.13
屏東縣,112.02.04,鹽埔鄉,紅羽土雞,112.02.08,"H5N1、
H5N2",112.02.08,"10,525",112.02.21
屏東縣,112.02.06,潮州鎮,黑羽土雞,112.02.10,H5N1,112.02.10,"18,575",112.02.22
臺南市,112.02.14,北門區,蛋中雞,112.02.17,H5N1,112.02.17,"29,060",112.03.08
嘉義縣,112.02.23,朴子市,紅羽土雞,112.02.26,H5N1,112.02.27,"22,848",112.03.09
雲林縣,112.02.23,二崙鄉,烏骨雞,112.02.26,H5N1,112.02.27,"20,810",112.03.06
嘉義縣,112.02.25,六腳鄉,蛋雞,112.03.01,H5N1,112.03.02,"36,766",112.03.09
