縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數,清場日期
雲林縣,113.01.02,東勢鄉,黑羽土雞、皇金雞,113.01.05,H5N1,113.01.05,"18,112",113.01.08
雲林縣,113.01.12,元長鄉,土番鴨,113.01.25,H5N1,113.01.25,837,113.01.30
雲林縣,113.01.14,東勢鄉,肉鵝,113.01.18,H5N1,113.01.18,"1,477",113.01.24
雲林縣,113.01.18,元長鄉,正番鴨,113.02.01,H5N1,113.02.01,109,113.02.07
雲林縣,113.01.22,元長鄉,紅羽土雞、皇金雞,113.01.25,H5N1,113.01.25,"4,903",113.01.30
雲林縣,113.02.05,麥寮鄉,種鵝,113.02.07,H5N1,113.02.07,"2,827",113.02.14
雲林縣,113.02.05,麥寮鄉,紅羽土雞,113.02.07,H5N1,113.02.07,"9,813",113.02.14
屏東縣,113.02.12,鹽埔鄉,黑羽土雞,113.02.15,H5N1,113.02.15,"9,583",113.02.21
雲林縣,113.02.12,口湖鄉,黑羽土雞,113.02.16,H5N1,113.02.16,"24,016",113.02.20
屏東縣,113.02.15,鹽埔鄉,黑羽土雞,113.02.18,H5N1,113.02.19,"21,593",113.02.22
臺南市,113.02.16,佳里區,紅羽土雞,113.02.20,H5N1,113.02.20,"10,016",113.02.27
南投縣,113.02.20,埔里鎮,白肉種雞,113.02.23,H5N1,113.02.23,"11,244",113.03.22
南投縣,113.02.20,埔里鎮,白肉種雞,113.02.23,H5N1,113.02.27,"27,607",113.03.25
臺南市,113.02.21,佳里區,黑羽土雞,113.02.24,H5N1,113.02.24,"12,794",113.03.01
雲林縣,113.02.25,土庫鎮,黑羽土雞,113.02.29,H5N1,113.02.29,"7,505",113.03.03
雲林縣,113.02.28,東勢鄉,黑羽土雞,113.03.03,H5N1,113.03.04,"14,153",113.03.07
雲林縣,113.02.29,東勢鄉,土番鴨,113.03.03,H5N1,113.03.04,"1,306",113.03.06
彰化縣,113.03.02,大城鄉,紅羽土雞,113.03.06,H5N1,113.03.06,"9,674",113.03.20
雲林縣,113.03.03,東勢鄉,皇金雞,113.03.07,H5N1,113.03.07,"5,375",113.03.20
臺南市,113.03.11,佳里區,紅羽土雞,113.03.14,H5N1,113.03.14,"14,886",113.03.19
臺南市,113.03.11,佳里區,紅羽土雞,113.03.15,H5N1,113.03.15,"17,604",113.03.19
