進出口別,日期,貨品號列,中文貨名,英文貨名,新臺幣(千元),重量(公噸),重量(公斤)
進口總值(含復進口),108年1月,040721,雞, Of fowls of the species Gallus domesticus,3166,58.775,58775
進口總值(含復進口),108年2月,040721,雞, Of fowls of the species Gallus domesticus,8878,156.725,156725
進口總值(含復進口),108年3月,040721,雞, Of fowls of the species Gallus domesticus,18933,344.093,344093
進口總值(含復進口),108年4月,040721,雞, Of fowls of the species Gallus domesticus,3068,49.096,49096
進口總值(含復進口),108年5月,040721,雞, Of fowls of the species Gallus domesticus,5162,88.932,88932
進口總值(含復進口),108年6月,040721,雞, Of fowls of the species Gallus domesticus,4653,77.489,77489
進口總值(含復進口),108年7月,040721,雞, Of fowls of the species Gallus domesticus,5368,82.015,82015
進口總值(含復進口),108年8月,040721,雞, Of fowls of the species Gallus domesticus,4478,77.726,77726
進口總值(含復進口),108年9月,040721,雞, Of fowls of the species Gallus domesticus,6882,124.945,124945
進口總值(含復進口),108年10月,040721,雞, Of fowls of the species Gallus domesticus,7183,124.333,124333
進口總值(含復進口),108年11月,040721,雞, Of fowls of the species Gallus domesticus,2529,41.502,41502
進口總值(含復進口),108年12月,040721,雞, Of fowls of the species Gallus domesticus,5483,97.224,97224
進口總值(含復進口),109年1月,040721,雞, Of fowls of the species Gallus domesticus,4304,77.229,77229
進口總值(含復進口),109年2月,040721,雞, Of fowls of the species Gallus domesticus,2204,40.93,40930
進口總值(含復進口),109年3月,040721,雞, Of fowls of the species Gallus domesticus,4405,81.428,81428
進口總值(含復進口),109年4月,040721,雞, Of fowls of the species Gallus domesticus,3311,59.85,59850
進口總值(含復進口),109年5月,040721,雞, Of fowls of the species Gallus domesticus,4436,81.063,81063
進口總值(含復進口),109年6月,040721,雞, Of fowls of the species Gallus domesticus,4391,96.069,96069
進口總值(含復進口),109年7月,040721,雞, Of fowls of the species Gallus domesticus,4234,85.202,85202
進口總值(含復進口),109年8月,040721,雞, Of fowls of the species Gallus domesticus,5899,131.703,131703
進口總值(含復進口),109年9月,040721,雞, Of fowls of the species Gallus domesticus,4525,97.583,97583
進口總值(含復進口),109年10月,040721,雞, Of fowls of the species Gallus domesticus,4101,106.394,106394
進口總值(含復進口),109年11月,040721,雞, Of fowls of the species Gallus domesticus,3774,80.576,80576
進口總值(含復進口),109年12月,040721,雞, Of fowls of the species Gallus domesticus,2804,61.01,61010
進口總值(含復進口),110年1月,040721,雞, Of fowls of the species Gallus domesticus,1856,39.798,39798
進口總值(含復進口),110年2月,040721,雞, Of fowls of the species Gallus domesticus,2783,59.018,59018
進口總值(含復進口),110年3月,040721,雞, Of fowls of the species Gallus domesticus,580,15.476,15476
進口總值(含復進口),110年4月,040721,雞, Of fowls of the species Gallus domesticus,1843,40.527,40527
進口總值(含復進口),110年5月,040721,雞, Of fowls of the species Gallus domesticus,2731,59.057,59057
進口總值(含復進口),110年7月,040721,雞, Of fowls of the species Gallus domesticus,1015,19.807,19807
進口總值(含復進口),110年8月,040721,雞, Of fowls of the species Gallus domesticus,3040,59.793,59793
進口總值(含復進口),110年9月,040721,雞, Of fowls of the species Gallus domesticus,1535,35.447,35447
進口總值(含復進口),110年10月,040721,雞, Of fowls of the species Gallus domesticus,3594,75.105,75105
進口總值(含復進口),110年11月,040721,雞, Of fowls of the species Gallus domesticus,2032,39.402,39402
進口總值(含復進口),110年12月,040721,雞, Of fowls of the species Gallus domesticus,1939,39.3,39300
進口總值(含復進口),111年1月,040721,雞, Of fowls of the species Gallus domesticus,1590,31.458,31458
進口總值(含復進口),111年2月,040721,雞, Of fowls of the species Gallus domesticus,3189,44.6,44600
進口總值(含復進口),111年3月,040721,雞, Of fowls of the species Gallus domesticus,18812,330.94,330940
進口總值(含復進口),111年4月,040721,雞, Of fowls of the species Gallus domesticus,21262,393.488,393488
進口總值(含復進口),111年5月,040721,雞, Of fowls of the species Gallus domesticus,11316,151.996,151996
進口總值(含復進口),111年8月,040721,雞, Of fowls of the species Gallus domesticus,8139,172.8,172800
進口總值(含復進口),111年9月,040721,雞, Of fowls of the species Gallus domesticus,12180,253.602,253602
進口總值(含復進口),111年10月,040721,雞, Of fowls of the species Gallus domesticus,27659,604.8,604800
進口總值(含復進口),111年11月,040721,雞, Of fowls of the species Gallus domesticus,25768,543.52,543520
進口總值(含復進口),111年12月,040721,雞, Of fowls of the species Gallus domesticus,1592,24.32,24320
進口總值(含復進口),112年1月,040721,雞, Of fowls of the species Gallus domesticus,486,7.16,7160
進口總值(含復進口),112年2月,040721,雞, Of fowls of the species Gallus domesticus,777,11.16,11160
進口總值(含復進口),112年3月,040721,雞, Of fowls of the species Gallus domesticus,59498,192.378,192378
進口總值(含復進口),112年4月,040721,雞, Of fowls of the species Gallus domesticus,85294,887.142,887142
進口總值(含復進口),112年5月,040721,雞, Of fowls of the species Gallus domesticus,335794,4524.237,4524237
進口總值(含復進口),112年6月,040721,雞, Of fowls of the species Gallus domesticus,287088,3924.553,3924553
進口總值(含復進口),112年7月,040721,雞, Of fowls of the species Gallus domesticus,182915,2180.707,2180707
進口總值(含復進口),112年8月,040721,雞, Of fowls of the species Gallus domesticus,66565,782.906,782906
進口總值(含復進口),112年9月,040721,雞, Of fowls of the species Gallus domesticus,17882,180.76,180760
進口總值(含復進口),112年10月,040721,雞, Of fowls of the species Gallus domesticus,19959,240.265,240265
進口總值(含復進口),112年11月,040721,雞, Of fowls of the species Gallus domesticus,18986,231.669,231669
進口總值(含復進口),112年12月,040721,雞, Of fowls of the species Gallus domesticus,22216,308.913,308913
進口總值(含復進口),113年1月,040721,雞, Of fowls of the species Gallus domesticus,13410,257.82,257820
進口總值(含復進口),113年2月,040721,雞, Of fowls of the species Gallus domesticus,12028,229.191,229191
進口總值(含復進口),113年3月,040721,雞, Of fowls of the species Gallus domesticus,1344,12.506,12506
進口總值(含復進口),113年4月,040721,雞, Of fowls of the species Gallus domesticus,1366,12.59,12590
進口總值(含復進口),113年5月,040721,雞, Of fowls of the species Gallus domesticus,1320,12.348,12348
進口總值(含復進口),113年11月,040721,雞, Of fowls of the species Gallus domesticus,1329,12.59,12590
進口總值(含復進口),113年12月,040721,雞, Of fowls of the species Gallus domesticus,1345,12.558,12558
